text,label
I feel optimistic about my grades,Hopeful
I can't believe my team!,Surprise
I feel so alone because of my grades,Loneliness
I'm thrilled because my life,Joy
I feel so happy about my siblings,Joy
I hope my colleagues will get better,Hopeful
my project broke my heart,Sadness
I feel nervous about my family,Fear
I care so much about my team,Love
I'm grateful for the situation,Grateful
I can't believe my grades!,Surprise
my friend broke my heart,Sadness
I really appreciate my colleagues,Grateful
Wow! I didn't expect the situation,Surprise
I wish I had someone to talk to about my school,Loneliness
I feel nervous about the situation,Fear
I care so much about my family,Love
the assignment makes me anxious,Fear
Nobody cares about my friend,Loneliness
I'm grateful for my siblings,Grateful
I feel so sad about the teacher,Sadness
I really love my colleagues,Love
I really appreciate my project,Grateful
the situation broke my heart,Sadness
I can't believe my parents!,Surprise
I feel so happy about the assignment,Joy
Why does my colleagues always happen?,Frustration
my project totally surprised me,Surprise
I can't deal with my team,Frustration
Maybe my project will improve,Hopeful
I really love the assignment,Love
my siblings totally surprised me,Surprise
Why does my exams always make me upset?,Anger
I feel nervous about the results,Fear
I hope the assignment will get better,Hopeful
Wow! I didn't expect my project,Surprise
I can't stop crying because of the situation,Sadness
I wish I had someone to talk to about my roommate,Loneliness
I'm grateful for the teacher,Grateful
I can't believe the teacher!,Surprise
I can't handle the assignment anymore,Overwhelmed
Why does my parents always make me upset?,Anger
I really love my team,Love
I feel so happy about my life,Joy
I can't deal with my siblings,Frustration
I'm scared of my life,Fear
I really love my team,Love
Thank you my life for everything,Grateful
Nobody cares about my colleagues,Loneliness
I feel nervous about my family,Fear
I can't handle my team anymore,Overwhelmed
Wow! I didn't expect my exams,Surprise
the situation makes me anxious,Fear
I feel optimistic about my team,Hopeful
my friend made my day!,Joy
Why does my colleagues always happen?,Frustration
Nobody cares about my parents,Loneliness
I can't handle my roommate anymore,Overwhelmed
I feel so happy about the situation,Joy
I care so much about the situation,Love
Thank you my parents for everything,Grateful
I can't stand my future anymore!,Anger
I'm so angry at my grades!,Anger
my parents broke my heart,Sadness
my colleagues is too much for me,Overwhelmed
I feel so alone because of my life,Loneliness
my colleagues makes me anxious,Fear
I can't stop crying because of my colleagues,Sadness
I feel so sad about my exams,Sadness
I feel so alone because of my grades,Loneliness
I hope my family will get better,Hopeful
I feel optimistic about the situation,Hopeful
my school means the world to me,Love
the assignment makes me anxious,Fear
I can't stop crying because of my colleagues,Sadness
I feel exhausted because of my friend,Overwhelmed
I care so much about my school,Love
I'm grateful for my grades,Grateful
Nobody cares about my team,Loneliness
I can't believe my friend!,Surprise
I feel so alone because of my grades,Loneliness
my roommate means the world to me,Love
I feel exhausted because of my roommate,Overwhelmed
I really appreciate the teacher,Grateful
the teacher totally surprised me,Surprise
I can't stand my siblings anymore!,Anger
my siblings is too much for me,Overwhelmed
I care so much about my friend,Love
my parents made my day!,Joy
I really appreciate the assignment,Grateful
I care so much about my life,Love
I feel exhausted because of my team,Overwhelmed
I feel so sad about my grades,Sadness
I'm grateful for my exams,Grateful
I feel so happy about my future,Joy
my future made my day!,Joy
I really love my project,Love
I wish I had someone to talk to about my parents,Loneliness
I hope my siblings will get better,Hopeful
I can't stop crying because of my colleagues,Sadness
I'm scared of the teacher,Fear
Wow! I didn't expect my family,Surprise
my family is too much for me,Overwhelmed
I feel exhausted because of my colleagues,Overwhelmed
I feel exhausted because of my project,Overwhelmed
my project made my day!,Joy
I'm so angry at my family!,Anger
I'm so angry at my school!,Anger
I feel exhausted because of my family,Overwhelmed
I feel so alone because of the assignment,Loneliness
I can't deal with the assignment,Frustration
my school is too much for me,Overwhelmed
I'm grateful for my family,Grateful
Why does the situation always make me upset?,Anger
I'm scared of my colleagues,Fear
I can't stop crying because of my colleagues,Sadness
I feel nervous about the teacher,Fear
I feel so alone because of my exams,Loneliness
I wish I had someone to talk to about my grades,Loneliness
Why does my project always make me upset?,Anger
I hope the results will get better,Hopeful
I can't believe my life!,Surprise
I'm scared of my project,Fear
I really love my parents,Love
my colleagues broke my heart,Sadness
Why does my roommate always happen?,Frustration
I'm so angry at the teacher!,Anger
I feel so sad about my colleagues,Sadness
I feel so alone because of the results,Loneliness
I feel so alone because of my colleagues,Loneliness
Wow! I didn't expect my exams,Surprise
I really love my school,Love
I can't stop crying because of the situation,Sadness
my team is so frustrating,Frustration
my grades totally surprised me,Surprise
I'm grateful for the situation,Grateful
I'm grateful for my exams,Grateful
Maybe the situation will improve,Hopeful
I can't stop crying because of my exams,Sadness
I can't stand my team anymore!,Anger
I feel exhausted because of my roommate,Overwhelmed
I feel exhausted because of my project,Overwhelmed
I feel optimistic about my life,Hopeful
I feel exhausted because of the results,Overwhelmed
my family means the world to me,Love
I really appreciate the results,Grateful
I'm thrilled because my future,Joy
I feel exhausted because of my project,Overwhelmed
I'm thrilled because my team,Joy
I can't stop crying because of the assignment,Sadness
I can't deal with my future,Frustration
I really appreciate my team,Grateful
I care so much about my future,Love
I'm so angry at my life!,Anger
I really appreciate my school,Grateful
I can't deal with my family,Frustration
Why does my roommate always happen?,Frustration
Wow! I didn't expect the assignment,Surprise
I feel optimistic about my parents,Hopeful
I can't stand my roommate anymore!,Anger
I feel exhausted because of my friend,Overwhelmed
I feel nervous about the situation,Fear
I can't stop crying because of my exams,Sadness
Wow! I didn't expect my family,Surprise
Why does the teacher always make me upset?,Anger
my grades broke my heart,Sadness
I can't handle the teacher anymore,Overwhelmed
I'm thrilled because my family,Joy
I really appreciate my family,Grateful
I'm grateful for the situation,Grateful
I can't deal with my team,Frustration
Nobody cares about my roommate,Loneliness
I can't handle my siblings anymore,Overwhelmed
I can't stop crying because of my project,Sadness
Nobody cares about the results,Loneliness
I'm grateful for my friend,Grateful
I can't stop crying because of my colleagues,Sadness
my exams is too much for me,Overwhelmed
I'm scared of the results,Fear
I really love the situation,Love
my family totally surprised me,Surprise
Maybe the teacher will improve,Hopeful
Why does my future always make me upset?,Anger
I hope the assignment will get better,Hopeful
my friend is so frustrating,Frustration
I can't stop crying because of the results,Sadness
I hope the situation will get better,Hopeful
I'm grateful for the situation,Grateful
I'm scared of my roommate,Fear
Nobody cares about the assignment,Loneliness
I feel so alone because of my life,Loneliness
Wow! I didn't expect my siblings,Surprise
I feel so alone because of my team,Loneliness
Why does the situation always make me upset?,Anger
I feel nervous about my roommate,Fear
Wow! I didn't expect the situation,Surprise
the teacher is too much for me,Overwhelmed
I feel exhausted because of my colleagues,Overwhelmed
the teacher broke my heart,Sadness
I hope my parents will get better,Hopeful
Nobody cares about my school,Loneliness
I hope my life will get better,Hopeful
I feel so alone because of the assignment,Loneliness
the situation makes me anxious,Fear
my parents totally surprised me,Surprise
I really appreciate my school,Grateful
I'm so angry at my siblings!,Anger
I feel optimistic about the assignment,Hopeful
Wow! I didn't expect my colleagues,Surprise
I really appreciate my project,Grateful
I feel exhausted because of my siblings,Overwhelmed
Why does the situation always happen?,Frustration
I'm so angry at my parents!,Anger
Wow! I didn't expect my roommate,Surprise
my siblings broke my heart,Sadness
I hope my friend will get better,Hopeful
I care so much about my project,Love
Why does my family always happen?,Frustration
Why does my roommate always happen?,Frustration
Nobody cares about my grades,Loneliness
my exams is too much for me,Overwhelmed
Thank you my grades for everything,Grateful
the assignment broke my heart,Sadness
I care so much about the situation,Love
my team made my day!,Joy
I feel exhausted because of my life,Overwhelmed
I feel so sad about my school,Sadness
I can't deal with my family,Frustration
I wish I had someone to talk to about my exams,Loneliness
my future is so frustrating,Frustration
I feel so alone because of my friend,Loneliness
Why does my family always make me upset?,Anger
I really appreciate my grades,Grateful
I can't deal with the assignment,Frustration
Wow! I didn't expect my future,Surprise
I care so much about the situation,Love
my colleagues means the world to me,Love
I feel so alone because of my grades,Loneliness
the situation is so frustrating,Frustration
I feel optimistic about my family,Hopeful
I'm grateful for the situation,Grateful
Why does my family always make me upset?,Anger
I'm so angry at my future!,Anger
I wish I had someone to talk to about my siblings,Loneliness
I feel exhausted because of my roommate,Overwhelmed
I'm grateful for my school,Grateful
I feel so alone because of my future,Loneliness
I'm grateful for my school,Grateful
Why does the situation always happen?,Frustration
I'm thrilled because my future,Joy
I'm grateful for my family,Grateful
I feel nervous about my future,Fear
I hope my exams will get better,Hopeful
I wish I had someone to talk to about my siblings,Loneliness
Why does the teacher always happen?,Frustration
I really appreciate my project,Grateful
I can't deal with my future,Frustration
I feel so alone because of my team,Loneliness
I'm thrilled because my exams,Joy
I feel nervous about my grades,Fear
I can't deal with my team,Frustration
my roommate means the world to me,Love
I can't stop crying because of my life,Sadness
my friend is so frustrating,Frustration
I'm scared of my siblings,Fear
I can't deal with the assignment,Frustration
I really appreciate the results,Grateful
I wish I had someone to talk to about my colleagues,Loneliness
I really appreciate my grades,Grateful
I feel optimistic about the results,Hopeful
I'm scared of my project,Fear
I really appreciate my project,Grateful
I really love my roommate,Love
I can't handle the teacher anymore,Overwhelmed
I hope my life will get better,Hopeful
I feel so alone because of my grades,Loneliness
I'm grateful for my school,Grateful
I feel so alone because of the results,Loneliness
I hope my grades will get better,Hopeful
I'm thrilled because my school,Joy
I really love my future,Love
Thank you my project for everything,Grateful
I'm thrilled because my project,Joy
I can't believe the situation!,Surprise
the results is so frustrating,Frustration
I feel so happy about my colleagues,Joy
Why does my school always happen?,Frustration
I'm scared of my school,Fear
I wish I had someone to talk to about my family,Loneliness
I feel nervous about the teacher,Fear
I'm thrilled because my project,Joy
my colleagues totally surprised me,Surprise
I'm thrilled because my school,Joy
my exams makes me anxious,Fear
my exams made my day!,Joy
I'm thrilled because my exams,Joy
I can't stand the teacher anymore!,Anger
I feel exhausted because of my friend,Overwhelmed
I really appreciate my friend,Grateful
I really love the teacher,Love
I feel nervous about my life,Fear
I feel so sad about the teacher,Sadness
Why does my grades always happen?,Frustration
Why does the situation always make me upset?,Anger
I really appreciate my exams,Grateful
I feel so alone because of the results,Loneliness
I really love my project,Love
I wish I had someone to talk to about my family,Loneliness
I can't handle my school anymore,Overwhelmed
I can't believe my siblings!,Surprise
I feel so alone because of my parents,Loneliness
I feel so sad about the results,Sadness
I'm so angry at the assignment!,Anger
I feel nervous about my team,Fear
I'm scared of my parents,Fear
I feel so alone because of my parents,Loneliness
I wish I had someone to talk to about my siblings,Loneliness
I can't handle the teacher anymore,Overwhelmed
I can't deal with the assignment,Frustration
I feel so alone because of my parents,Loneliness
I feel so alone because of my grades,Loneliness
I'm scared of my friend,Fear
my colleagues made my day!,Joy
I can't believe my exams!,Surprise
I really love my future,Love
Wow! I didn't expect my exams,Surprise
I can't believe my family!,Surprise
my roommate means the world to me,Love
Wow! I didn't expect my project,Surprise
my life means the world to me,Love
I feel exhausted because of my roommate,Overwhelmed
the teacher is too much for me,Overwhelmed
I can't believe my grades!,Surprise
I hope my friend will get better,Hopeful
Why does my team always make me upset?,Anger
I'm thrilled because my family,Joy
I can't stop crying because of my friend,Sadness
my siblings made my day!,Joy
I can't deal with my team,Frustration
the assignment broke my heart,Sadness
Why does my parents always happen?,Frustration
Thank you my roommate for everything,Grateful
I can't believe my friend!,Surprise
I hope the assignment will get better,Hopeful
I can't deal with my life,Frustration
I really appreciate my life,Grateful
I can't believe my team!,Surprise
I can't deal with the assignment,Frustration
I feel nervous about my grades,Fear
the assignment means the world to me,Love
I feel optimistic about my life,Hopeful
I feel so sad about my colleagues,Sadness
Wow! I didn't expect my siblings,Surprise
I feel nervous about my project,Fear
the teacher totally surprised me,Surprise
I really love my team,Love
Nobody cares about my life,Loneliness
I'm grateful for my friend,Grateful
my colleagues totally surprised me,Surprise
my friend is too much for me,Overwhelmed
my siblings broke my heart,Sadness
I can't handle my friend anymore,Overwhelmed
I feel exhausted because of my project,Overwhelmed
my future makes me anxious,Fear
I'm scared of my siblings,Fear
I feel nervous about the assignment,Fear
I hope my life will get better,Hopeful
Why does the situation always make me upset?,Anger
my siblings is too much for me,Overwhelmed
I feel nervous about my team,Fear
my school made my day!,Joy
my exams means the world to me,Love
I really appreciate my siblings,Grateful
I can't believe the teacher!,Surprise
I feel so alone because of my family,Loneliness
my parents broke my heart,Sadness
I feel exhausted because of my roommate,Overwhelmed
my future totally surprised me,Surprise
Why does the situation always happen?,Frustration
I can't stand my team anymore!,Anger
I'm so angry at my grades!,Anger
Wow! I didn't expect my exams,Surprise
Nobody cares about my team,Loneliness
my school totally surprised me,Surprise
I'm scared of my family,Fear
Nobody cares about the situation,Loneliness
Maybe my team will improve,Hopeful
I can't deal with the teacher,Frustration
Why does my future always happen?,Frustration
I feel so happy about my exams,Joy
I can't stand my siblings anymore!,Anger
I feel optimistic about my siblings,Hopeful
I can't deal with my exams,Frustration
my school totally surprised me,Surprise
I'm thrilled because my life,Joy
I care so much about my future,Love
I feel so happy about my school,Joy
I feel optimistic about my roommate,Hopeful
I feel nervous about my school,Fear
I feel nervous about my grades,Fear
I feel exhausted because of my school,Overwhelmed
my parents totally surprised me,Surprise
I can't handle the results anymore,Overwhelmed
my project made my day!,Joy
I hope my school will get better,Hopeful
Why does my roommate always happen?,Frustration
I can't believe my parents!,Surprise
I'm grateful for the situation,Grateful
I can't handle the results anymore,Overwhelmed
I feel nervous about the teacher,Fear
Nobody cares about my school,Loneliness
I'm scared of the teacher,Fear
I feel so happy about my project,Joy
I can't stand my siblings anymore!,Anger
my school makes me anxious,Fear
my grades makes me anxious,Fear
I'm so angry at my parents!,Anger
I feel so happy about my grades,Joy
I'm grateful for the assignment,Grateful
I wish I had someone to talk to about my roommate,Loneliness
I can't stand the teacher anymore!,Anger
my family is too much for me,Overwhelmed
Thank you my family for everything,Grateful
I can't believe my family!,Surprise
the teacher is so frustrating,Frustration
I'm grateful for my school,Grateful
I feel nervous about my team,Fear
my project is too much for me,Overwhelmed
I'm scared of my life,Fear
I'm scared of my school,Fear
I feel optimistic about the results,Hopeful
the assignment made my day!,Joy
my parents broke my heart,Sadness
the results is so frustrating,Frustration
I feel so happy about my siblings,Joy
I wish I had someone to talk to about my colleagues,Loneliness
I care so much about the situation,Love
I can't stand my school anymore!,Anger
I care so much about my future,Love
I really love my roommate,Love
I can't handle my school anymore,Overwhelmed
I'm thrilled because the teacher,Joy
I hope my school will get better,Hopeful
I feel so alone because of my grades,Loneliness
I feel so happy about my family,Joy
I really appreciate my parents,Grateful
Wow! I didn't expect my future,Surprise
Nobody cares about my exams,Loneliness
I'm grateful for my school,Grateful
my project makes me anxious,Fear
I feel nervous about my siblings,Fear
I'm thrilled because my future,Joy
I feel so alone because of my grades,Loneliness
I care so much about my future,Love
I wish I had someone to talk to about my team,Loneliness
I hope my roommate will get better,Hopeful
I feel optimistic about my school,Hopeful
I can't handle my project anymore,Overwhelmed
Thank you my family for everything,Grateful
I'm grateful for the teacher,Grateful
I feel so sad about my roommate,Sadness
I can't handle my exams anymore,Overwhelmed
I can't stand my exams anymore!,Anger
Wow! I didn't expect my exams,Surprise
Why does my team always make me upset?,Anger
I feel so sad about the assignment,Sadness
I can't deal with my siblings,Frustration
I really appreciate my future,Grateful
I hope my siblings will get better,Hopeful
I really appreciate my grades,Grateful
I feel so sad about my parents,Sadness
I feel optimistic about the teacher,Hopeful
I feel nervous about the results,Fear
I can't deal with my future,Frustration
my school broke my heart,Sadness
I can't stop crying because of my parents,Sadness
my roommate broke my heart,Sadness
I feel optimistic about my colleagues,Hopeful
Thank you my team for everything,Grateful
Thank you the situation for everything,Grateful
I can't handle my life anymore,Overwhelmed
I feel nervous about my school,Fear
I'm thrilled because the results,Joy
my parents is too much for me,Overwhelmed
I really appreciate my friend,Grateful
I hope my family will get better,Hopeful
my future made my day!,Joy
my colleagues broke my heart,Sadness
Wow! I didn't expect my siblings,Surprise
Nobody cares about my siblings,Loneliness
I wish I had someone to talk to about my school,Loneliness
my colleagues broke my heart,Sadness
my roommate makes me anxious,Fear
I hope my siblings will get better,Hopeful
I can't stop crying because of my future,Sadness
I'm thrilled because my colleagues,Joy
Nobody cares about my family,Loneliness
Why does my parents always make me upset?,Anger
I'm grateful for the teacher,Grateful
my project made my day!,Joy
my parents totally surprised me,Surprise
I'm thrilled because the assignment,Joy
I feel optimistic about my grades,Hopeful
I really appreciate my friend,Grateful
I feel exhausted because of my school,Overwhelmed
I really appreciate my family,Grateful
Nobody cares about my roommate,Loneliness
I'm scared of my life,Fear
I can't deal with my grades,Frustration
I feel so alone because of my grades,Loneliness
I can't believe my family!,Surprise
I care so much about my life,Love
my siblings means the world to me,Love
I care so much about my team,Love
my colleagues broke my heart,Sadness
I really love the situation,Love
I feel exhausted because of my exams,Overwhelmed
I can't believe the teacher!,Surprise
my grades is so frustrating,Frustration
my friend made my day!,Joy
I can't stand my team anymore!,Anger
I'm so angry at the results!,Anger
I really appreciate my colleagues,Grateful
Wow! I didn't expect my family,Surprise
Wow! I didn't expect the assignment,Surprise
Nobody cares about the assignment,Loneliness
I really love my exams,Love
the teacher makes me anxious,Fear
I really appreciate the assignment,Grateful
I can't deal with my family,Frustration
my roommate is so frustrating,Frustration
Thank you my roommate for everything,Grateful
my friend is so frustrating,Frustration
my future totally surprised me,Surprise
I'm so angry at my project!,Anger
I can't believe my parents!,Surprise
I feel nervous about my siblings,Fear
I feel so sad about my grades,Sadness
I feel so alone because of my siblings,Loneliness
my colleagues means the world to me,Love
my future means the world to me,Love
my team broke my heart,Sadness
Thank you the situation for everything,Grateful
I really appreciate the situation,Grateful
Why does my grades always happen?,Frustration
my life made my day!,Joy
I can't believe my future!,Surprise
I can't stand my family anymore!,Anger
Why does the teacher always happen?,Frustration
I can't handle the situation anymore,Overwhelmed
I care so much about my roommate,Love
I really love my family,Love
I'm scared of my parents,Fear
I feel exhausted because of my exams,Overwhelmed
I feel nervous about my school,Fear
I'm scared of my roommate,Fear
I can't handle my parents anymore,Overwhelmed
I really appreciate my future,Grateful
I really appreciate my grades,Grateful
Wow! I didn't expect my school,Surprise
Thank you the assignment for everything,Grateful
I feel so happy about the results,Joy
my exams totally surprised me,Surprise
I really appreciate my siblings,Grateful
I'm scared of my exams,Fear
I feel so happy about my grades,Joy
I feel nervous about my life,Fear
I feel so sad about my life,Sadness
I feel so alone because of my exams,Loneliness
Nobody cares about my project,Loneliness
Why does my team always happen?,Frustration
I really love my colleagues,Love
I feel so alone because of my parents,Loneliness
the situation makes me anxious,Fear
I really appreciate my family,Grateful
I can't stand my colleagues anymore!,Anger
Why does the teacher always make me upset?,Anger
my friend made my day!,Joy
Wow! I didn't expect my project,Surprise
I feel exhausted because of my siblings,Overwhelmed
I feel so happy about the assignment,Joy
I feel optimistic about my parents,Hopeful
I can't stand my life anymore!,Anger
I can't stop crying because of the teacher,Sadness
the situation broke my heart,Sadness
my colleagues made my day!,Joy
I feel so sad about the situation,Sadness
my future means the world to me,Love
I can't stop crying because of my family,Sadness
my grades means the world to me,Love
I can't stop crying because of my parents,Sadness
I feel nervous about my grades,Fear
I can't stand my parents anymore!,Anger
Why does my roommate always make me upset?,Anger
I can't believe my school!,Surprise
I'm so angry at my project!,Anger
I really appreciate the situation,Grateful
my life is so frustrating,Frustration
I wish I had someone to talk to about my colleagues,Loneliness
I can't stop crying because of my colleagues,Sadness
I really appreciate my siblings,Grateful
my exams makes me anxious,Fear
I'm so angry at my project!,Anger
Nobody cares about my school,Loneliness
my siblings makes me anxious,Fear
my roommate makes me anxious,Fear
I really appreciate my friend,Grateful
Why does my friend always happen?,Frustration
I care so much about my project,Love
I'm so angry at the results!,Anger
my siblings broke my heart,Sadness
my future totally surprised me,Surprise
I really love my roommate,Love
I feel so alone because of the results,Loneliness
the teacher means the world to me,Love
Wow! I didn't expect my exams,Surprise
I feel optimistic about my school,Hopeful
I can't believe the results!,Surprise
I can't stop crying because of my colleagues,Sadness
Nobody cares about my friend,Loneliness
I can't believe my colleagues!,Surprise
I wish I had someone to talk to about my project,Loneliness
my family broke my heart,Sadness
my life broke my heart,Sadness
I feel so sad about my grades,Sadness
my friend means the world to me,Love
my team makes me anxious,Fear
I really love the results,Love
the situation is too much for me,Overwhelmed
I feel optimistic about my exams,Hopeful
Why does the results always happen?,Frustration
I feel so alone because of my school,Loneliness
I can't stop crying because of my project,Sadness
Thank you my family for everything,Grateful
the assignment means the world to me,Love
I feel exhausted because of my project,Overwhelmed
I feel nervous about my parents,Fear
the teacher is so frustrating,Frustration
I feel so sad about the teacher,Sadness
Why does the results always make me upset?,Anger
the teacher made my day!,Joy
my family broke my heart,Sadness
I wish I had someone to talk to about the teacher,Loneliness
I'm thrilled because the teacher,Joy
I feel so alone because of my siblings,Loneliness
my grades totally surprised me,Surprise
my friend made my day!,Joy
Why does my team always make me upset?,Anger
Thank you my future for everything,Grateful
my friend is so frustrating,Frustration
my future is so frustrating,Frustration
I'm grateful for the situation,Grateful
my life broke my heart,Sadness
my team means the world to me,Love
my team broke my heart,Sadness
my roommate is so frustrating,Frustration
I can't stop crying because of my roommate,Sadness
I care so much about my team,Love
Why does my roommate always happen?,Frustration
the situation is so frustrating,Frustration
I can't believe my family!,Surprise
I feel so alone because of my friend,Loneliness
my exams makes me anxious,Fear
I feel so sad about the teacher,Sadness
I feel so alone because of my roommate,Loneliness
Maybe my exams will improve,Hopeful
I can't stand my team anymore!,Anger
my parents is so frustrating,Frustration
I really love the teacher,Love
I hope the teacher will get better,Hopeful
Thank you the assignment for everything,Grateful
I wish I had someone to talk to about the situation,Loneliness
I really love the results,Love
I can't believe the teacher!,Surprise
I care so much about the results,Love
I hope my friend will get better,Hopeful
I'm so angry at the assignment!,Anger
the situation totally surprised me,Surprise
I can't believe my family!,Surprise
my friend makes me anxious,Fear
my roommate broke my heart,Sadness
I'm grateful for the assignment,Grateful
I can't stand my life anymore!,Anger
I can't deal with my friend,Frustration
my grades broke my heart,Sadness
the teacher made my day!,Joy
I feel exhausted because of my family,Overwhelmed
Why does my roommate always make me upset?,Anger
I'm scared of the situation,Fear
I can't handle the situation anymore,Overwhelmed
I care so much about my team,Love
I feel exhausted because of my roommate,Overwhelmed
Maybe my parents will improve,Hopeful
I'm grateful for my project,Grateful
Maybe the assignment will improve,Hopeful
Maybe my project will improve,Hopeful
I can't believe the teacher!,Surprise
I feel optimistic about my colleagues,Hopeful
I feel optimistic about my colleagues,Hopeful
I hope my exams will get better,Hopeful
I really love the results,Love
I can't handle my school anymore,Overwhelmed
I'm grateful for my family,Grateful
Why does my school always make me upset?,Anger
I can't stand my friend anymore!,Anger
the results is so frustrating,Frustration
I can't stop crying because of my life,Sadness
I hope the teacher will get better,Hopeful
I'm thrilled because the results,Joy
I really appreciate my team,Grateful
I'm scared of my friend,Fear
I feel optimistic about my roommate,Hopeful
I wish I had someone to talk to about my exams,Loneliness
the teacher means the world to me,Love
my family is too much for me,Overwhelmed
I can't stand my parents anymore!,Anger
Maybe my team will improve,Hopeful
I really love my roommate,Love
I really love the results,Love
my grades is so frustrating,Frustration
I feel so sad about the assignment,Sadness
I can't deal with my team,Frustration
the results is too much for me,Overwhelmed
I'm thrilled because my colleagues,Joy
I feel exhausted because of my siblings,Overwhelmed
my roommate makes me anxious,Fear
my grades totally surprised me,Surprise
I really appreciate my life,Grateful
Why does the results always make me upset?,Anger
I care so much about my exams,Love
I can't deal with my friend,Frustration
I can't stand my team anymore!,Anger
I'm grateful for my team,Grateful
my grades made my day!,Joy
Why does my team always make me upset?,Anger
I hope my friend will get better,Hopeful
I feel so alone because of my family,Loneliness
Wow! I didn't expect my future,Surprise
the teacher totally surprised me,Surprise
I can't stop crying because of my school,Sadness
my friend made my day!,Joy
Nobody cares about the results,Loneliness
I can't stand my school anymore!,Anger
Nobody cares about my parents,Loneliness
I'm grateful for my grades,Grateful
I wish I had someone to talk to about my friend,Loneliness
I feel so alone because of my family,Loneliness
I can't deal with the teacher,Frustration
Thank you my friend for everything,Grateful
I feel optimistic about my future,Hopeful
Thank you my roommate for everything,Grateful
I feel so happy about my exams,Joy
I'm so angry at the results!,Anger
my friend broke my heart,Sadness
Thank you my life for everything,Grateful
I'm so angry at the assignment!,Anger
I care so much about my project,Love
my parents is too much for me,Overwhelmed
I hope my future will get better,Hopeful
I can't stop crying because of the results,Sadness
I feel exhausted because of my roommate,Overwhelmed
I can't deal with the teacher,Frustration
I can't stop crying because of my roommate,Sadness
I hope the results will get better,Hopeful
the assignment is so frustrating,Frustration
I hope the situation will get better,Hopeful
I can't stand my team anymore!,Anger
I feel so alone because of the results,Loneliness
I really love my roommate,Love
I'm grateful for the teacher,Grateful
I wish I had someone to talk to about the assignment,Loneliness
my grades makes me anxious,Fear
Nobody cares about my parents,Loneliness
I'm grateful for the teacher,Grateful
I can't handle my school anymore,Overwhelmed
my life makes me anxious,Fear
I wish I had someone to talk to about my future,Loneliness
my project is too much for me,Overwhelmed
I can't believe my family!,Surprise
my grades made my day!,Joy
my exams makes me anxious,Fear
I feel exhausted because of my colleagues,Overwhelmed
I really appreciate my parents,Grateful
my colleagues is so frustrating,Frustration
I'm so angry at my family!,Anger
I feel optimistic about the results,Hopeful
I'm scared of my school,Fear
I can't believe my team!,Surprise
I feel nervous about my future,Fear
I'm grateful for my exams,Grateful
my exams totally surprised me,Surprise
I feel so happy about my grades,Joy
I feel so happy about my grades,Joy
I feel exhausted because of my project,Overwhelmed
I'm scared of my future,Fear
I really appreciate the assignment,Grateful
I'm thrilled because my grades,Joy
I can't stop crying because of my grades,Sadness
Why does my parents always make me upset?,Anger
my siblings is too much for me,Overwhelmed
I feel optimistic about my exams,Hopeful
I care so much about my project,Love
I really love my roommate,Love
Why does my friend always happen?,Frustration
I can't stop crying because of the results,Sadness
my school totally surprised me,Surprise
Why does my colleagues always make me upset?,Anger
I feel optimistic about the situation,Hopeful
I hope my future will get better,Hopeful
I'm grateful for the teacher,Grateful
Thank you my parents for everything,Grateful
I can't stand my project anymore!,Anger
I can't believe my grades!,Surprise
I hope my siblings will get better,Hopeful
I really appreciate my grades,Grateful
